"Alabama","","Required Medicaid to cover telemental health","32.637 -86.6745","Alabama","Allowed prescribing controlled substances via telehealth"
"Alaska","","Required Medicaid to cover telemental health","27.2319 -117.9187","Alaska","Allowed remote examination, diagnosis, and treatment of opioid use disorder"
"Arizona","","Required Medicaid to cover telemental health","34.2956 -111.6596","Arizona","Specifically expanded crisis counseling via Presidential Disaster Declaration"
"Arkansas","","Not required","34.9219 -92.4448","Arkansas","Suspended prohibition of telephone-based treatment from licensed counselors"
"California","","Required Medicaid to cover telemental health","39.633 -122.032","California","Provided specific guidance for behavioral health programs"
"Colorado","","Not required","39.0001 -105.5453","Colorado","Waived limits to the number of days out-of-state mental health providers can practice in the state"
"Connecticut","","Required Medicaid to cover telemental health","41.6059 -72.7384","Connecticut","Allowed for home delivery of methadone for individuals with COVID-19 symptoms"
"Delaware","","Required Medicaid to cover telemental health","38.819 -75.418","Delaware","Allowed out-of-state providers to provide  telehealth services within Delaware"
"District of Columbia","","","38.8956 -77.0177","District of Columbia"
"Florida","","Not required","27.6661 -81.3526","Florida","Amended state employee health plans to include telehealth"
"Georgia","","Required Medicaid to cover telemental health","32.6524 -83.4511","Georgia","Received CMS 1135 waiver to allow for reimbursement for residential psychiatric facilities in alternative settings"
"Hawaii","","Required Medicaid to cover telemental health","26.6006 -105.5203","Hawaii","Permitted off-site dispensing of take-home doses of medication-assisted treatment for opioid use disorder"
"Idaho","","Required Medicaid to cover telemental health","43.913 -115.274","Idaho","Waived requirements for in-person pharmacy signature logs"
"Illinois","","Required Medicaid to cover telemental health","40.1191 -89.1545","Illinois","Established a mental health hotline called ""Call4Calm"""
"Indiana","","Required Medicaid to cover telemental health","39.9126 -86.2849","Indiana","Specifically expanded Medicaid definition of telehealth to include mental health and substance use disorder treatment"
"Iowa","","Required Medicaid to cover telemental health","42.0838 -93.5064","Iowa","Expanded prescriptive rights of physician assistants and their coverage under Medicaid"
"Kansas","","Not required","38.4965 -98.3275","Kansas","Removed requirement of an in-person examination prior to issuing a prescription"
"Kentucky","","Not required","37.5139 -85.2779","Kentucky","Permitted screening for buprenorphine treatment via telehealth"
"Louisiana","","Not required","31.5714 -92.5874","Louisiana","Received approval from the Centers for Medicare and Medicaid Services (CMS) to use telehealth for mental health rehabilitation services"
"Maine","","Required Medicaid to cover telemental health","45.3376 -69.2175","Maine","Created comprehensive guidance on safely providing mental and behavioral health services (including withdrawal management)"
